leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,max_leverage_reached,schedule
2.0,1274800.807719189,0.14481499913737306,0.3569656251601454,0.4056833177491663,-0.9715884215713821,0.14904973744248512,47.299690122567704,-0.32328999331823494,7163,False,band,10525390058.074295,105253.90058074295,0.0,0.0,0,53,132093710664.07143,26418742.13281429,-1,2.701776558931315,band
2.25,1345543.606651824,0.14540996175597098,0.4064417131116394,0.3577633817226592,-0.9839309763178029,0.14778471788757322,53.867112922191566,-0.48388202031552696,7308,False,band,15267656780.678226,152676.56780678226,0.0,4344.333148492664,1,82,350685324000.9122,70137064.80018243,-1,4.0,band
2.5,1970405.7357615142,0.14962079427895159,0.453152742937203,0.33017739958750675,-0.9887039888626432,0.1513302221538198,56.29809248565837,-0.5505195736210791,7303,False,band,21816842864.864002,218168.42864864002,0.0,56870.450437830776,1,107,434608831377.9032,86921766.27558064,-1,4.0,band
2.75,4647533.47533243,0.15915022606413287,0.49585853125396734,0.3209589349237591,-0.9952576000874667,0.15990857648326043,59.696822067321946,-0.5635730732530848,7639,False,band,60946129868.70087,609461.2986870087,0.0,9325693.127243297,2,129,1454109575697.9016,290821915.13958037,-1,4.000000000000001,band
3.0,1152257.2070272926,0.1437024575089343,0.5424200659267495,0.2649283581782913,-0.9987858878009346,0.14387714050038244,64.97637321342023,-0.6682201857502539,8569,False,band,15578435715.345247,155784.35715345247,0.0,486601.1844130135,20,177,490305118248.0315,98061023.6496063,-1,4.000000000000001,band
1.0,110157.7711531725,0.1181626329950598,0.1885171506872527,0.6268004399827257,-0.7875299305368018,0.15004208527606938,24.342559525233288,-0.18540761761143942,4821,False,never,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,1.0,never
1.25,137664.4588838339,0.12056297934840665,0.20946830296892088,0.5755666973933271,-0.8627857864217403,0.13973686313079106,26.69990057662266,-0.18696984381087822,4828,False,never,3250505.763210809,32.50505763210809,0.0,0.0,0,0,0.0,0.0,-1,1.6787328736095757,never
1.5,165175.74834448952,0.12252871655338926,0.23922891938397098,0.5121818752887742,-0.9204094757686686,0.13312413635361686,28.5336149010216,-0.1879193982035947,4844,False,never,6040838.5268567875,60.408385268567876,0.0,0.0,0,0,0.0,0.0,-1,3.0661148236649494,never
1.75,120298.42587750782,0.11911030754833996,0.25893878803184667,0.45999407216539023,-0.9602245562833194,0.12404422149895095,34.447917309229474,-0.23211014097547666,6269,False,never,5024498.332580429,50.244983325804284,0.0,44.087794691878166,7,0,0.0,0.0,-1,4.000000000000001,never
2.0,86114.16245488872,0.11551699172214747,0.2648037451252877,0.43623624608289596,-0.9742362273682138,0.11857184990359394,39.086780139442126,-0.23211014097547622,7144,False,never,3736350.325115166,37.36350325115166,0.0,90.19295519695213,18,0,0.0,0.0,-1,4.000000000000001,never
