leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,ruin_deficit,terminal_net_equity,withdrawals_paid,withdrawal_failures,final_leverage,max_leverage_reached,episode,schedule,start,end
3.0,0.13427162091921538,-0.7368580775230981,1.0653095870204927,-0.6916844516381166,-0.9105493631136176,-0.8092456130037988,51.693098462524055,-0.2681043238544205,358,False,monthly,7994.222615983024,0.07994222615983024,0.0,95.01611347503415,13,19,300125.5571048203,60.025111420964066,-1,0.0,13427.162091921537,0.0,0,3.000000000000001,4.000000000000001,global financial crisis,monthly,2007-10-01,2009-04-01
1.0,0.6295677233785418,-0.264840133271139,0.31572375726996554,-0.8388349852452898,-0.47663883129819606,-0.5556411183491028,21.822164641957293,-0.0840423651138289,207,False,never,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,0.0,62956.77233785418,0.0,0,1.0,1.0,global financial crisis,never,2007-10-01,2009-04-01
1.25,0.5229453984893273,-0.3501704294051039,0.43278909608400823,-0.8091017832323869,-0.5937620949599407,-0.5897487097567736,27.263019399246886,-0.11349772486291498,207,False,never,1401.4255733849102,0.014014255733849103,0.0,0.0,0,0,0.0,0.0,-1,0.0,52294.539848932734,0.0,0,1.5048600800323084,1.5922643097682954,global financial crisis,never,2007-10-01,2009-04-01
1.5,0.41632307360011445,-0.44158584959939917,0.5836232104528247,-0.7566283206193585,-0.708278149756592,-0.6234638888001208,32.586482504352844,-0.14807890866321682,207,False,never,2802.8511467698204,0.028028511467698206,0.0,0.0,0,0,0.0,0.0,-1,0.0,41632.307360011444,0.0,0,2.2683143091292584,2.6311584862800608,global financial crisis,never,2007-10-01,2009-04-01
1.75,0.29457347826542335,-0.5563272132173356,0.783077354896176,-0.710437110381127,-0.8170351894673116,-0.6809097336187543,37.881573362113464,-0.18925142492480018,207,False,never,4180.261618087681,0.041802616180876814,0.0,17.610999092226617,4,0,0.0,0.0,-1,0.0,29457.347826542333,0.0,0,3.0907134575591657,4.0,global financial crisis,never,2007-10-01,2009-04-01
2.0,0.20473843626588248,-0.6516537027570142,0.9590166618670225,-0.6795019614032239,-0.8742252722463559,-0.7454070746348531,43.00733265758822,-0.23903668156760982,207,False,never,5365.480529694975,0.053654805296949756,0.0,62.62316329491997,12,0,0.0,0.0,-1,0.0,20473.84362658825,0.0,0,3.090713457559163,4.000000000000001,global financial crisis,never,2007-10-01,2009-04-01
2.25,0.16565225275128237,-0.6974213080358169,1.0275631120721302,-0.678713842334641,-0.8994110672350671,-0.7754199758513103,46.66867210801435,-0.2680996560221487,207,False,never,6303.410293225975,0.06303410293225975,0.0,96.76703792093727,17,0,0.0,0.0,-1,0.0,16565.225275128236,0.0,0,3.0907134575591635,4.000000000000001,global financial crisis,never,2007-10-01,2009-04-01
2.5,0.14198310682951465,-0.7269037866675669,1.0658294091606584,-0.6820076275057979,-0.9147673043038037,-0.7946324526987627,49.27110928924234,-0.2681043238544202,207,False,never,7258.098827256762,0.07258098827256762,0.0,127.70120080861267,19,0,0.0,0.0,-1,0.0,14198.310682951465,0.0,0,3.0907134575591644,4.000000000000001,global financial crisis,never,2007-10-01,2009-04-01
2.75,0.12911113325269244,-0.7436266036083576,1.0932491159629332,-0.6801986781881564,-0.9207438582265107,-0.8076367786375386,50.74974998926237,-0.2681043238544204,207,False,never,7969.910022430042,0.07969910022430042,0.0,156.13260424546402,23,0,0.0,0.0,-1,0.0,12911.113325269245,0.0,0,3.0907134575591635,4.000000000000001,global financial crisis,never,2007-10-01,2009-04-01
3.0,0.12167958950709555,-0.7535355571416487,1.1001034668682304,-0.6849678960532779,-0.9238448423289486,-0.815651636092959,52.16670860914791,-0.2681043238544206,358,False,never,8139.896651092146,0.08139896651092146,0.0,182.883064186002,25,0,0.0,0.0,-1,0.0,12167.958950709555,0.0,0,3.090713457559163,4.000000000000001,global financial crisis,never,2007-10-01,2009-04-01
